teff,logg,feh,A,lambda0,b,n,A_err,lambda0_err,b_err,n_err,EW_numeric,EW_analytic
7000,3.5,-0.5,0.9776783865195489,4862.690543773244,3.1183402567658076,0.4381145064645081,0.013885826740143098,0.0035619065736161156,0.11433878187476501,0.007892260114063835,7.446874937490287,16.069539598037395
7000,3.5,0.0,0.9765502990276246,4862.679260120484,3.452571502776976,0.43272142054876833,0.018002723747971783,0.0047575128432832585,0.1651359117078786,0.01041961705221653,7.814927165219789,18.301707602113908
7000,3.5,0.5,0.9689063526485756,4862.684946538907,3.844416423236209,0.42260958440921265,0.022948533158464887,0.006113210932927235,0.2392628492120646,0.013461867655325126,8.152208621602748,21.426045631860276
7000,4.0,-0.5,0.9671460932923908,4862.6849535884985,2.9583178775381507,0.4356733796036659,0.012527011739316477,0.003122587628286828,0.09958786273776747,0.007037474396759308,7.19022662121079,15.280820462107707
7000,4.0,0.0,0.9773965796877755,4862.6849788263125,3.221601856937484,0.42365002296295184,0.017478976073278186,0.00421177572982477,0.15261941780455981,0.009652178837612971,7.604671223616509,18.001342866955316
7000,4.0,0.5,0.9550653570413309,4862.685121874704,3.7953156160695656,0.4204026745368908,0.02230005372692724,0.0058964579902933524,0.23406993291242897,0.01313526006808249,7.9962786688229786,21.126607329127815
7000,4.5,-0.5,0.9197830675875882,4862.690500896722,2.9329843390037804,0.4690136828627033,0.010642786395113858,0.0033342415556015916,0.08318741718349096,0.006831005306625646,6.690782366138981,12.231546438541042
7000,4.5,0.0,0.9485070943914902,4862.6906319264135,3.1013955538747973,0.4376216119766249,0.01566276473047109,0.004124681121504766,0.13236729739028222,0.009148824798859688,7.204820262685689,15.546427593553847
7000,4.5,0.5,0.9655797997297182,4862.673898588837,3.3514947780865167,0.409118399956607,0.022650503907736715,0.004986757042208028,0.21390044883557205,0.012297773209668555,7.690745514083111,20.237736427827098
7000,5.0,-0.5,0.8802625084922451,4862.685091600218,2.9980887308675577,0.4954849342014866,0.009512179853742102,0.0036533187389622096,0.07600518109094036,0.00685091782950345,6.392479511508885,10.73615773072975
7000,5.0,0.0,0.9185793243922067,4862.679753366949,3.122874217931224,0.45272773434390207,0.014165055146230038,0.004160031058419767,0.1210804015184777,0.008906002871730073,6.953279859136515,14.0302526622229
7000,5.0,0.5,0.9444958271193302,4862.6567588813205,3.3294125471287552,0.41522933250394484,0.021581529225247826,0.004456491225272905,0.20449925310673114,0.012152812147153651,7.484714460129508,18.91706705865932
